DATE,STATION_NAME,NB_VALID,DEPARTEMENT
2019-07-01,OZOIR-LA-FERRIERE,2328,77
2019-07-01,PALAIS ROYAL-MUSEE DU LOUVRE,15825,75
2019-07-01,PANTIN,11177,93
2019-07-01,PARC DES EXPOSITIONS,4550,93
2019-07-01,PARMENTIER,7224,75
2019-07-01,PASSY,77,75
2019-07-01,PASTEUR,9202,75
2019-07-01,PELLEPORT,979,75
2019-07-01,PERE LACHAISE,11061,75
2019-07-01,PEREIRE-LEVALLOIS,11608,75
2019-07-01,PERNETY,4726,75
2019-07-01,PERSAN-BEAUMONT,2612,95
2019-07-01,PETIT-JOUY-LES-LOGES,156,78
2019-07-01,PETIT-VAUX,380,91
2019-07-01,PHILIPPE AUGUSTE,4303,75
2019-07-01,PICPUS,3283,75
2019-07-01,PIERRE CURIE,3715,94
2019-07-01,PIERREFITTE T11,880,93
2019-07-01,PIERREFITTE-STAINS,8392,93
2019-07-01,PIERRELAYE,1030,95
2019-07-01,PIGALLE,10073,75
2019-07-01,PLACE D'ITALIE,26267,75
2019-07-01,PLACE DE CLICHY,18421,75
2019-07-01,PLACE DES FETES,9652,75
2019-07-01,PLACE MONGE (JARDIN DES PLANTES),5638,75
2019-07-01,PLAISANCE,12983,75
2019-07-01,PLAISIR-GRIGNON,4497,78
2019-07-01,PLAISIR-LES-CLAYES,1201,78
2019-07-01,POISSONNIERE,8657,75
2019-07-01,POISSY,16486,78
2019-07-01,PONT DE LEVALLOIS-BECON,15934,92
2019-07-01,PONT DE NEUILLY (AVENUE DE MADRID),19830,92
2019-07-01,PONT DE RUNGIS,807,94
2019-07-01,PONT DE SEVRES,14463,92
2019-07-01,PONT-CARDINET,5480,75
2019-07-01,PONT-MARIE (CITE DES ARTS),3327,75
2019-07-01,PONT-NEUF (LA MONNAIE),3163,75
2019-07-01,PONT-PETIT,94,95
2019-07-01,PONTHIERRY-PRINGY,417,77
2019-07-01,PONTOISE,5244,95
2019-07-01,PORCHEFONTAINE,1093,78
2019-07-01,PORTE D'AUTEUIL,1186,75
2019-07-01,PORTE D'ITALIE,5412,75
2019-07-01,PORTE D'IVRY,4558,75
2019-07-01,PORTE D'ORLEANS,15393,75
2019-07-01,PORTE DAUPHINE,7319,75
2019-07-01,PORTE DE BAGNOLET,10371,75
2019-07-01,PORTE DE CHAMPERRET,8473,75
2019-07-01,PORTE DE CHARENTON,5924,75
2019-07-01,PORTE DE CHOISY,6408,75
2019-07-01,PORTE DE CLICHY,12065,75
2019-07-01,PORTE DE CLIGNANCOURT,21104,75
2019-07-01,PORTE DE LA CHAPELLE,5925,75
2019-07-01,PORTE DE LA VILLETTE,9521,75
2019-07-01,PORTE DE MONTREUIL,12304,75
2019-07-01,PORTE DE PANTIN,11517,75
2019-07-01,PORTE DE SAINT-CLOUD,12430,75
2019-07-01,PORTE DE SAINT-OUEN,9518,93
2019-07-01,PORTE DE VANVES,12403,75
2019-07-01,PORTE DE VERSAILLES,11661,75
2019-07-01,PORTE DE VINCENNES,19453,75
2019-07-01,PORTE DES LILAS,9706,75
2019-07-01,PORTE DOREE,5671,75
2019-07-01,PORTE MAILLOT,27635,75
2019-07-01,PORTE-DE-CLICHY,708,95
2019-07-01,PRE SAINT-GERVAIS,1061,75
2019-07-01,PRESLES-COURCELLES,326,95
2019-07-01,PROVINS,719,77
2019-07-01,PUTEAUX,3545,92
2019-07-01,PYRAMIDES,15516,75
2019-07-01,PYRENEES,6608,75
2019-07-01,QUAI DE LA GARE,8895,75
2019-07-01,QUAI DE LA RAPEE,3199,75
2019-07-01,QUATRE SEPTEMBRE,5995,75
2019-07-01,RAMBOUILLET,6015,78
2019-07-01,RAMBUTEAU,5144,75
2019-07-01,RANELAGH,5503,75
2019-07-01,RASPAIL,3242,75
2019-07-01,REAUMUR-SEBASTOPOL,14092,75
2019-07-01,RENNES,2889,75
2019-07-01,REPUBLIQUE,42015,75
2019-07-01,REUILLY-DIDEROT,15326,75
2019-07-01,RICHARD LENOIR,6465,75
2019-07-01,RICHELIEU-DROUOT,14570,75
2019-07-01,RIQUET,5468,75
2019-07-01,RIS-ORANGIS,923,91
2019-07-01,ROBESPIERRE,11269,93
2019-07-01,ROISSY-EN-BRIE,3189,77
2019-07-01,ROME,6453,75
2019-07-01,ROSA PARKS,15358,75
2019-07-01,ROSNY-BOIS-PERRIER,8426,93
2019-07-01,ROSNY-SOUS-BOIS,5466,93
2019-07-01,ROSNY-SUR-SEINE,262,78
2019-07-01,RUE DE LA POMPE (AVENUE GEORGES MANDEL),7423,75
2019-07-01,RUE DES BOULETS,7096,75
2019-07-01,RUE DU BAC,5513,75
2019-07-01,SAINT-AMBROISE,7361,75
2019-07-01,SAINT-AUGUSTIN,8953,75
2019-07-01,SAINT-CHERON,378,91
2019-07-01,SAINT-CLOUD,8749,92
2019-07-01,SAINT-CYR,4380,78
2019-07-01,SAINT-DENIS,18239,93
2019-07-01,SAINT-DENIS-PORTE DE PARIS,9425,93
2019-07-01,SAINT-DENIS-UNIVERSITE,10825,93
2019-07-01,SAINT-FARGEAU,2290,75
2019-07-01,SAINT-FRANCOIS-XAVIER,5020,75
2019-07-01,SAINT-GEORGES,2448,75
2019-07-01,SAINT-GERMAIN-BEL-AIR-FOURQUEUX,15,78
2019-07-01,SAINT-GERMAIN-DES-PRES,7583,75
2019-07-01,SAINT-GERMAIN-GRANDE-CEINTURE,10,78
2019-07-01,SAINT-GRATIEN,3255,95
2019-07-01,SAINT-JACQUES,4589,75
2019-07-01,SAINT-LAZARE,130706,75
2019-07-01,SAINT-LEU-LA-FORET,1869,95
2019-07-01,SAINT-MAMMES,264,77
2019-07-01,SAINT-MANDE-TOURELLE,15991,94
2019-07-01,SAINT-MARCEL,5696,75
2019-07-01,SAINT-MARTIN-D'ETAMPES,569,91
2019-07-01,SAINT-MAUR,6824,94
2019-07-01,SAINT-MICHEL,12446,75
2019-07-01,SAINT-MICHEL NOTRE DAME,5031,75
2019-07-01,SAINT-MICHEL-SUR-ORGE,3518,91
2019-07-01,SAINT-NOM-LA-BRETECHE-FORET-DE-MARLY,649,78
2019-07-01,SAINT-OUEN,6452,95
